NODE ,X [m],Y [m],Z [m]
12233,19.562,2.224,0.222
12234,19.593,2.104,0.225
12235,19.641,1.915,0.231
12236,19.690,1.725,0.236
12237,19.768,1.421,0.244
12238,19.846,1.118,0.253
12239,19.929,0.791,0.262
12240,20.013,0.465,0.271
12241,20.072,0.232,0.277
12242,21.734,-0.210,0.296
12243,21.765,-0.332,0.293
12244,21.812,-0.514,0.289
12245,21.883,-0.789,0.283
12246,21.958,-1.084,0.276
12247,22.034,-1.379,0.270
12248,22.100,-1.636,0.264
12249,22.166,-1.893,0.258
12250,22.200,-2.024,0.255
12251,22.235,-2.160,0.252
12252,22.266,-2.281,0.250
12253,22.288,-2.367,0.248
12254,22.309,-2.450,0.246
12291,21.049,2.465,0.232
12292,21.066,2.399,0.234
12293,21.087,2.317,0.236
12294,21.108,2.235,0.238
